UniqueCount	AmbigCount
0	0
0	0
13	75
7	47
42	44
0	0
1	0
3	0
3	0
0	0
1	0
0	0
11	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	4
0	4
0	4
0	0
0	0
0	0
0	0
0	0
0	21
0	17
0	18
0	17
0	6
0	2
0	7
0	7
1	0
0	0
0	0
0	0
0	0
3	0
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	33
0	145
39	195
0	34
0	112
109	69
0	141
0	64
22	0
1	4
0	4
0	0
0	112
65	138
0	114
0	64
0	57
1	80
0	66
128	18
0	75
2	0
72	378
20	369
0	1
0	0
7	10
0	10
1	6
0	4
0	4
0	1
0	0
0	0
4	0
0	0
0	0
0	308
26	526
22	134
127	348
72	76
0	43
36	472
55	214
0	0
0	0
0	0
0	0
0	6
0	0
0	4
12	10
0	8
0	10
0	2
0	0
0	0
0	0
1	0
0	0
0	0
357	77
0	68
0	56
0	1
0	26
0	58
33	905
46	88
2	12
0	353
1	718
216	106
1	295
29	6
4	56
13	4
13	14
0	81
78	4
0	151
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	21
1	129
0	129
0	132
0	2
0	2
0	112
3	101
0	17
0	126
0	5
0	9
0	13
0	0
0	0
0	0
0	52
0	0
0	0
0	0
0	0
7	0
499	743
2	105
0	13
0	534
0	260
47	63
124	758
5	728
0	0
0	0
906	2
0	0
7	19
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	5
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	52
0	49
0	56
0	41
0	12
0	1
0	34
1	14
2	16
0	0
0	1
0	0
0	8
0	0
0	0
0	0
0	0
0	0
0	7
0	0
